,Test Case Design,,,,
,,,,,
,Project name:,WORDPRESS,,,
,,,,,
,Scenario 01:,DASHBOARD,,,
,,,CRITICAL-MAJOR-MINOR,,
,ID_TEST CASE,SUMMARY,PRIORITY,STEPS,EXPECTED RESULT
,,,,,
,TC001,ADDING NEW POST IN THE QUICKPRESS CHART WITH THE PUBLISH BUTTON,CRITICAL,1.-LOAD WEBPAGE http://demosite.center/wordpress/wp-login.php,1.-VERIFY THAT A TEXT CHART IS DISPLAYED  UNDER THE QUICKPRESS HEADER 
,,,,"2.-ENTER  ""admin"" TO USERNAME FIELD","2.-VERIFY THAT IN THE TEXT CHART SHOWS THE MESSAGE ""Post published"""
,,,,"3.-ENTER ""demo123"" TO PASSWORD FIELD",3.-VERIFY THAT THE USERNAME TITLE TEXT FIELD IN THE QUICK PRESS CHART IS EMPTY
,,,,"4.-CLICK ON ""log in "" BUTTON",4.-VERIFY THAT THE CONTENT TEXT FIELD IN THE QUICKPRESS CHART IS EMPTY  
,,,,"5.-ENTER ""Nuevo Post"" TO TITLE TEXT FIELD IN THE QUICKPRESS CHART",5.-VERIFY THAT THE TAG TEXT FIELD IN THE QUICKPRESS CHART IS EMPTY
,,,,"6.-ENTER ""Nuevo Contenido"" TO CONTENT  TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"7.-ENTER ""Nuevo Contenido"" TO TAGS TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"8.-CLICK ON ""Publish"" BUTTON",
,,,,,
,TC002,VIEWING ERROR AFTER PUBLSHING THE POST IN THE QUICKPRESS CHART,CRITICAL,1.-LOAD WEBPAGE http://demosite.center/wordpress/wp-login.php,"1.-VERIFY THAT THE PAGE DISPLAYED A ""Not Found"" TITLE MESSAGE"
,,,,"2.-ENTER  ""admin"" TO USERNAME FIELD",
,,,,"3.-ENTER ""demo123"" TO PASSWORD FIELD",
,,,,"4.-CLICK ON ""log in "" BUTTON",
,,,,"5.-ENTER ""Nuevo Post"" TO TITLE TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"6.-ENTER ""Nuevo Contenido"" TO CONTENT  TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"7.-ENTER ""Nuevo Contenido"" TO TAGS TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"8.-CLICK ON ""Publish"" BUTTON",
,,,,"9.-CLICK ON ""View Post"" LINK",
,,,,,
,TC003,EDITING POST AFTER PUBLISHING IN THE QUICKPRESS CHART,MAJOR,1.-LOAD WEBPAGE http://demosite.center/wordpress/wp-login.php,1.-VERIFY THAT A TEXT CHART IS DISPLAYED UNDER THE EDIT POST HEADER
,,,,"2.-ENTER  ""admin"" TO USERNAME FIELD","2.-VERIFY THAT IN THE TEXT CHART SHOWS THE MESSAGE ""Post updated . View Post"""
,,,,"3.-ENTER ""demo123"" TO PASSWORD FIELD","3.-VERIFY VALUE ""Nuevo Nuevo Post"" IS DISPLAYED ON THE TITLE TEXT FIELD"
,,,,"4.-CLICK ON ""log in "" BUTTON","4.-VERIFY VALUE ""Nuevo Nuevo Contenido"" IS DISPLAYED ON THE CONTENT TEXT FIELD"
,,,,"5.-ENTER ""Nuevo Post"" TO TITLE TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"6.-ENTER ""Nuevo Contenido"" TO CONTENT  TEXT FIELD IN THE QUICKPRESS CHART",
,,,,"7.-ENTER ""Nuevo Contenido"" TO TAGS TEXT FIELD IN THE QUICKPRESS CHART",
